name_cap_2,num_rom_ca,Shape_Leng,Shape_Area
WESTONIA-NE,2635-III-NE,60404.37960000000,226636095.19200000000
WESTONIA-SE,2635-III-SE,60447.74520000000,226937809.97499999000
DRYDEN HILL-SE,2633-III-SE,60804.56400000000,229420365.17199999000
PEDERAH-NE,2632-IV-NE,60850.42660000000,229739452.75000000000
COWALELLUP-NE,2629-IV-NE,61423.51460000000,233726694.25700000000
COWALELLUP-SE,2629-IV-SE,61473.21920000000,234072512.42899999000
PALLINUP-NE,2629-III-NE,61523.23170000000,234420472.95100001000
PALLINUP-SE,2629-III-SE,61573.55380000000,234770587.50799999000
HAUL OFF ROCK-NE,2628-IV-NE,61624.18780000000,235122871.95300001000
HAUL OFF ROCK-SE,2628-IV-SE,61675.13500000000,235477335.47700000000
PORT HEDLAND-NW,2657-III-NW,57505.16300000000,206464887.80000001000
PORT HEDLAND-SW,2657-III-SW,57529.21780000000,206632248.30500001000
MOUNT BEASLEY-SW,2647-III-SW,58647.37600000000,214411798.51699999000
GNAWEEDA-NW,2644-IV-NW,58943.93280000000,216475082.85900000000
GABANINTHA-SW,2644-III-SW,59046.74660000000,217190406.76699999000
PAYNESVILLE-NW,2641-IV-NW,59367.47340000000,219421853.09299999000
WARRALAKIN-NW,2635-IV-NW,60318.45620000000,226038285.63600001000
WESTONIA-SW,2635-III-SW,60447.74500000000,226937808.34400001000
TANDAGIN-SW,2634-IV-SW,60535.29140000000,227546909.63299999000
WOGARL-NW,2634-III-NW,60579.47550000000,227854319.22499999000
WOGARL-SW,2634-III-SW,60623.93560000000,228163649.08000001000
LAKE JOY-NW,2630-IV-NW,61227.73940000000,232364594.81700000000
COWALELLUP-NW,2629-IV-NW,61423.51480000000,233726695.93700001000
COWALELLUP-SW,2629-IV-SW,61473.21930000000,234072513.27000001000
PALLINUP-NW,2629-III-NW,61523.23160000000,234420472.10900000000
PALLINUP-SW,2629-III-SW,61573.55360000000,234770585.82100001000
HAUL OFF ROCK-NW,2628-IV-NW,61624.18760000000,235122870.26400000000
HAUL OFF ROCK-SW,2628-IV-SW,61675.13480000000,235477333.78500000000
ABBOTTS-NE,2545-II-NE,58876.50300000000,216005942.33399999000
MEEKATHARRA-NE,2544-I-NE,58943.93290000000,216475083.63699999000
LAKE CAMPION-NE,2535-I-NE,60318.45640000000,226038287.25999999000
MERREDIN-SE,2535-II-SE,60447.74520000000,226937809.97499999000
WADDERIN-SE,2534-II-SE,60623.93530000000,228163646.74399999000
NAREMBEEN-NE,2533-I-NE,60668.67230000000,228474902.99700001000
LAKE GRACE-NE,2531-I-NE,61036.74700000000,231035771.26800001000
KURINGUP-NE,2530-I-NE,61227.73920000000,232364593.14700001000
KURINGUP-SE,2530-I-SE,61276.23020000000,232701967.73600000000
ONGERUP-NE,2530-II-NE,61325.02200000000,233041435.13000000000
ONGERUP-SE,2530-II-SE,61374.11620000000,233383006.46300000000
BORDEN-NE,2529-I-NE,61423.51460000000,233726694.25799999000
BORDEN-SE,2529-I-SE,61473.21930000000,234072513.27000001000
ELLEN PEAK-NE,2529-II-NE,61523.23180000000,234420473.79400000000
ELLEN PEAK-SE,2529-II-SE,61573.55380000000,234770587.50799999000
GREEN RANGE-NE,2528-I-NE,61624.18780000000,235122871.95300001000
GREEN RANGE-SE,2528-I-SE,61675.13500000000,235477335.47700000000
MOUNT MANYPEAKS-NE,2528-II-NE,61726.39770000000,235833993.93099999000
MOUNT MANYPEAKS-SE,2528-II-SE,61777.97760000000,236192859.28999999000
NANNINE-SW,2544-II-SW,59046.74660000000,217190406.76699999000
CULLCULLI-NW,2543-I-NW,59081.46690000000,217431972.15000001000
CULLCULLI-SW,2543-I-SW,59116.41370000000,217675113.40000001000
BONNIE ROCK-NW,2536-I-NW,60149.80060000000,224864869.89500001000
CALCALING-SW,2536-II-SW,60275.89540000000,225742170.22499999000
MERREDIN-SW,2535-II-SW,60447.74500000000,226937808.34400001000
NORPA-NW,2534-I-NW,60491.38180000000,227241409.99000001000
NAREMBEEN-NW,2533-I-NW,60668.67260000000,228474905.33500001000
NAREMBEEN-SW,2533-I-SW,60713.68880000000,228788104.11500001000
BENDERING-SW,2533-II-SW,60804.56400000000,229420365.17199999000
JILAKIN-NW,2532-I-NW,60850.42660000000,229739452.75000000000
LAKE GRACE-NW,2531-I-NW,61036.74680000000,231035769.60800001000
KURINGUP-NW,2530-I-NW,61227.73940000000,232364594.81700000000
KURINGUP-SW,2530-I-SW,61276.23040000000,232701969.40799999000
ONGERUP-NW,2530-II-NW,61325.02220000000,233041436.80500001000
ONGERUP-SW,2530-II-SW,61374.11630000000,233383007.30100000000
BORDEN-NW,2529-I-NW,61423.51460000000,233726694.25700000000
BORDEN-SW,2529-I-SW,61473.21920000000,234072512.42899999000
ELLEN PEAK-NW,2529-II-NW,61523.23160000000,234420472.10900000000
ELLEN PEAK-SW,2529-II-SW,61573.55360000000,234770585.82100001000
GREEN RANGE-NW,2528-I-NW,61624.18760000000,235122870.26400000000
GREEN RANGE-SW,2528-I-SW,61675.13480000000,235477333.78500000000
MOUNT MANYPEAKS-NW,2528-II-NW,61726.39770000000,235833993.93099999000
MOUNT MANYPEAKS-SW,2528-II-SW,61777.97780000000,236192860.98800001000
WIALKI-SE,2537-III-SE,60108.29260000000,224576079.08199999000
MUKINBUDIN-SE,2536-III-SE,60275.89560000000,225742171.84700000000
NUNGARIN-SE,2535-IV-SE,60361.28390000000,226336258.22900000000
NUKARNI-NE,2535-III-NE,60404.37970000000,226636095.88699999000
NUKARNI-SE,2535-III-SE,60447.74510000000,226937809.15900001000
NANGEENAN-NE,2534-IV-NE,60491.38180000000,227241409.99000001000
NANGEENAN-SE,2534-IV-SE,60535.29140000000,227546909.63299999000
BRUCE ROCK-NE,2534-III-NE,60579.47540000000,227854318.40599999000
BRUCE ROCK-SE,2534-III-SE,60623.93520000000,228163646.04899999000
KULIN-SE,2532-IV-SE,60896.57460000000,230060526.25200000000
KUKERIN-SE,2531-IV-SE,61084.05260000000,231364898.20400000000
NYABING-NE,2530-IV-NE,61227.73920000000,232364593.14700001000
NYABING-SE,2530-IV-SE,61276.23020000000,232701967.73600000000
GNOWANGERUP-NE,2530-III-NE,61325.02200000000,233041435.13000000000
GNOWANGERUP-SE,2530-III-SE,61374.11630000000,233383007.30100000000
KEBARINGUP-NE,2529-IV-NE,61423.51480000000,233726695.93700001000
KEBARINGUP-SE,2529-IV-SE,61473.21940000000,234072514.11100000000
CHESTER PASS-NE,2529-III-NE,61523.23180000000,234420473.79400000000
CHESTER PASS-SE,2529-III-SE,61573.55380000000,234770587.50799999000
NOORUBUP-NE,2528-IV-NE,61624.18770000000,235122871.10800001000
NOORUBUP-SE,2528-IV-SE,61675.13480000000,235477333.78500000000
TWO PEOPLES BAY-NE,2528-III-NE,61726.39760000000,235833993.08300000000
TWO PEOPLES BAY-SE,2528-III-SE,61777.97760000000,236192859.28999999000
BREAKSEA-NE,2527-IV-NE,61829.87700000000,236553947.71300000000
MALLINA-SW,2556-III-SW,57627.24980000000,207314302.92100000000
TUCKANARRA-NW,2543-IV-NW,59081.46670000000,217431970.67300001000
WIALKI-SW,2537-III-SW,60108.29270000000,224576079.88900000000
NUNGARIN-SW,2535-IV-SW,60361.28360000000,226336255.90700001000
NUKARNI-NW,2535-III-NW,60404.37960000000,226636094.95400000000
NANGEENAN-NW,2534-IV-NW,60491.38200000000,227241411.62300000000
BRUCE ROCK-SW,2534-III-SW,60623.93540000000,228163647.68799999000
BABAKIN-NW,2533-IV-NW,60668.67260000000,228474905.33500001000
BABAKIN-SW,2533-IV-SW,60713.68870000000,228788103.29300001000
KOOLBERIN-NW,2532-III-NW,60943.00920000000,230383593.24100000000
KUKERIN-SW,2531-IV-SW,61084.05270000000,231364899.17100000000
NYABING-NW,2530-IV-NW,61227.73940000000,232364594.81700000000
NYABING-SW,2530-IV-SW,61276.23030000000,232701968.57200000000
GNOWANGERUP-NW,2530-III-NW,61325.02200000000,233041435.13000000000
GNOWANGERUP-SW,2530-III-SW,61374.11620000000,233383006.46300000000
KEBARINGUP-NW,2529-IV-NW,61423.51460000000,233726694.25799999000
KEBARINGUP-SW,2529-IV-SW,61473.21920000000,234072512.42899999000
CHESTER PASS-NW,2529-III-NW,61523.23160000000,234420472.10900000000
CHESTER PASS-SW,2529-III-SW,61573.55360000000,234770585.82100001000
NOORUBUP-NW,2528-IV-NW,61624.18770000000,235122871.10800001000
NOORUBUP-SW,2528-IV-SW,61675.13500000000,235477335.47700000000
TWO PEOPLES BAY-NW,2528-III-NW,61726.39780000000,235833994.77800000000
TWO PEOPLES BAY-SW,2528-III-SW,61777.97780000000,236192860.98800001000
BREAKSEA-NW,2527-IV-NW,61829.87720000000,236553949.41299999000
CUE-SE,2443-II-SE,59186.99100000000,218166152.72000000000
AUSTIN-NE,2442-I-NE,59222.62360000000,218414065.40200001000
AUSTIN-SE,2442-I-SE,59258.48680000000,218663582.47499999000
BEACON-SE,2437-II-SE,60108.29270000000,224576079.88900000000
BENCUBBIN-NE,2436-II-NE,60233.60040000000,225447904.33800000000
TRAYNING-NE,2435-I-NE,60318.45640000000,226038287.25999999000
TRAYNING-SE,2435-I-SE,60361.28370000000,226336256.72000000000
KODJ KODJIN-NE,2435-II-NE,60404.37960000000,226636094.95400000000
DOODLAKINE-NE,2434-I-NE,60491.38190000000,227241410.68599999000
KWOLYIN-SE,2434-II-SE,60623.93520000000,228163646.04899999000
WOGERLIN-NE,2433-I-NE,60668.67240000000,228474903.69299999000
WOGERLIN-SE,2433-I-SE,60713.68870000000,228788103.29300001000
CORRIGIN-NE,2433-II-NE,60758.98540000000,229103253.76899999000
CORRIGIN-SE,2433-II-SE,60804.56420000000,229420366.81999999000
SEWELL-NE,2432-I-NE,60850.42670000000,229739453.70600000000
SEWELL-SE,2432-I-SE,60896.57470000000,230060526.94800001000
HARRISMITH-NE,2432-II-NE,60943.00930000000,230383594.06900001000
HARRISMITH-SE,2432-II-SE,60989.73280000000,230708671.19999999000
MOULYINNING-SE,2431-I-SE,61084.05240000000,231364896.81299999000
COYRECUP-NE,2430-I-NE,61227.73920000000,232364593.14700001000
COYRECUP-SE,2430-I-SE,61276.23030000000,232701968.57200000000
MARTINUP-NE,2430-II-NE,61325.02220000000,233041436.80500001000
MARTINUP-SE,2430-II-SE,61374.11640000000,233383008.13999999000
TOOLBRUNUP-NE,2429-I-NE,61423.51480000000,233726695.93700001000
TOOLBRUNUP-SE,2429-I-SE,61473.21940000000,234072514.11100000000
MONDURUP-NE,2429-II-NE,61523.23170000000,234420473.09799999000
MONDURUP-SE,2429-II-SE,61573.55380000000,234770587.36100000000
PORONGURUP-NE,2428-I-NE,61624.18760000000,235122870.26400000000
PORONGURUP-SE,2428-I-SE,61675.13480000000,235477333.78500000000
OYSTER HARBOUR-NE,2428-II-NE,61726.39760000000,235833993.08300000000
OYSTER HARBOUR-SE,2428-II-SE,61777.97760000000,236192859.28999999000
ALBANY-NE,2427-I-NE,61829.87700000000,236553947.71300000000
ALBANY-SE,2427-I-SE,61882.09780000000,236917272.26600000000
BALLA BALLA-SW,2456-I-SW,57577.87000000000,206970744.53299999000
TOM PRICE-SW,2452-I-SW,57993.76700000000,209864334.68500000000
MT BENNETT-NW,2452-II-NW,58021.37480000000,210056415.07499999000
CUE-NW,2443-II-NW,59151.58780000000,217919835.90700001000
CUE-SW,2443-II-SW,59186.99080000000,218166151.15200001000
AUSTIN-SW,2442-I-SW,59258.48660000000,218663580.90400001000
LENNONVILLE-SW,2442-II-SW,59330.91090000000,219167470.84799999000
MOUNT MAGNET-NW,2441-I-NW,59367.47370000000,219421855.36600000000
BEACON-SW,2437-II-SW,60108.29260000000,224576079.08199999000
BENCUBBIN-NW,2436-II-NW,60233.60020000000,225447902.71799999000
TRAYNING-NW,2435-I-NW,60318.45620000000,226038285.63600001000
DOODLAKINE-NW,2434-I-NW,60491.38220000000,227241413.01499999000
KWOLYIN-SW,2434-II-SW,60623.93530000000,228163646.86800000000
WOGERLIN-NW,2433-I-NW,60668.67240000000,228474903.69299999000
WOGERLIN-SW,2433-I-SW,60713.68860000000,228788102.47000000000
CORRIGIN-NW,2433-II-NW,60758.98520000000,229103252.12200001000
CORRIGIN-SW,2433-II-SW,60804.56400000000,229420365.17199999000
SEWELL-NW,2432-I-NW,60850.42640000000,229739451.35900000000
SEWELL-SW,2432-I-SW,60896.57460000000,230060525.99100000000
HARRISMITH-NW,2432-II-NW,60943.00930000000,230383594.06900001000
HARRISMITH-SW,2432-II-SW,60989.73300000000,230708672.85800001000
DATATINE-NW,2431-II-NW,61131.65240000000,231696072.56999999000
COYRECUP-NW,2430-I-NW,61227.73940000000,232364594.67800000000
COYRECUP-SW,2430-I-SW,61276.23020000000,232701967.73600000000
MARTINUP-NW,2430-II-NW,61325.02200000000,233041435.13000000000
MARTINUP-SW,2430-II-SW,61374.11620000000,233383006.46300000000
TOOLBRUNUP-NW,2429-I-NW,61423.51460000000,233726694.25700000000
TOOLBRUNUP-SW,2429-I-SW,61473.21920000000,234072512.42899999000
MONDURUP-NW,2429-II-NW,61523.23140000000,234420470.71799999000
MONDURUP-SW,2429-II-SW,61573.55390000000,234770588.05599999000
PORONGURUP-NW,2428-I-NW,61624.18770000000,235122871.25799999000
PORONGURUP-SW,2428-I-SW,61675.13510000000,235477336.17300001000
OYSTER HARBOUR-NW,2428-II-NW,61726.39780000000,235833994.77800000000
OYSTER HARBOUR-SW,2428-II-SW,61777.97780000000,236192860.98800001000
ALBANY-NW,2427-I-NW,61829.87710000000,236553948.56299999000
MOUNT LIONEL-SE,2452-IV-SE,57993.76680000000,209864333.17699999000
PARABURDOO-SE,2451-IV-SE,58105.36950000000,210640805.46799999000
BIG BELL-NE,2443-III-NE,59151.58800000000,217919837.47299999000
YOWERAGABBIE-SE,2441-IV-SE,59404.27160000000,219677875.39800000000
LAKE WALLAMBIN-NE,2436-III-NE,60233.60040000000,225447904.33800000000
YELBENI-SE,2435-IV-SE,60361.28360000000,226336255.90700001000
KELLERBERRIN-NE,2434-IV-NE,60491.38200000000,227241411.38100001000
KELLERBERRIN-SE,2434-IV-SE,60535.29140000000,227546909.63299999000
PANTAPIN-SE,2434-III-SE,60623.93530000000,228163646.86800000000
PIKARING-NE,2433-IV-NE,60668.67260000000,228474905.33500001000
PIKARING-SE,2433-IV-SE,60713.68880000000,228788104.11500001000
LOMOS-NE,2433-III-NE,60758.98540000000,229103253.76899999000
LOMOS-SE,2433-III-SE,60804.56420000000,229420366.81999999000
MALYALLING-NE,2432-IV-NE,60850.42650000000,229739452.18399999000
MALYALLING-SE,2432-IV-SE,60896.57450000000,230060525.29499999000
TOOLIBIN-NE,2432-III-NE,60943.00930000000,230383593.93700001000
TOOLIBIN-SE,2432-III-SE,60989.73280000000,230708671.19999999000
DUMBLEYUNG-NE,2431-III-NE,61131.65220000000,231696070.90500000000
KATANNING-NE,2430-IV-NE,61227.73950000000,232364595.37400001000
KATANNING-SE,2430-IV-SE,61276.23040000000,232701969.40799999000
BROOMEHILL-NE,2430-III-NE,61325.02220000000,233041436.80500001000
BROOMEHILL-SE,2430-III-SE,61374.11640000000,233383008.13999999000
TAMBELLUP-NE,2429-IV-NE,61423.51480000000,233726695.93700001000
TAMBELLUP-SE,2429-IV-SE,61473.21930000000,234072513.27000001000
TENTERDEN-NE,2429-III-NE,61523.23140000000,234420470.71799999000
TENTERDEN-SE,2429-III-SE,61573.55380000000,234770587.21300000000
MOUNT BARKER-NE,2428-IV-NE,61624.18740000000,235122868.87200001000
MOUNT BARKER-SE,2428-IV-SE,61675.13500000000,235477335.17600000000
REDMOND-NE,2428-III-NE,61726.39750000000,235833992.38699999000
REDMOND-SE,2428-III-SE,61777.97770000000,236192859.98600000000
TORBAY-NE,2427-IV-NE,61829.87710000000,236553948.56299999000
TORBAY-SE,2427-IV-SE,61882.09800000000,236917273.96799999000
LAKE WALLAMBIN-NW,2436-III-NW,60233.60020000000,225447902.71799999000
KELLERBERRIN-NW,2434-IV-NW,60491.38220000000,227241413.01499999000
KELLERBERRIN-SW,2434-IV-SW,60535.29150000000,227546910.45100001000
PANTAPIN-SW,2434-III-SW,60623.93520000000,228163646.04899999000
PIKARING-NW,2433-IV-NW,60668.67240000000,228474903.69299999000
PIKARING-SW,2433-IV-SW,60713.68860000000,228788102.47000000000
LOMOS-NW,2433-III-NW,60758.98520000000,229103252.12200001000
LOMOS-SW,2433-III-SW,60804.56400000000,229420365.17199999000
MALYALLING-NW,2432-IV-NW,60850.42650000000,229739452.18399999000
MALYALLING-SW,2432-IV-SW,60896.57460000000,230060526.25200000000
TOOLIBIN-NW,2432-III-NW,60943.00960000000,230383596.28799999000
TOOLIBIN-SW,2432-III-SW,60989.73300000000,230708672.85800001000
KATANNING-NW,2430-IV-NW,61227.73940000000,232364594.53900000000
KATANNING-SW,2430-IV-SW,61276.23020000000,232701967.73600000000
BROOMEHILL-NW,2430-III-NW,61325.02200000000,233041435.13000000000
BROOMEHILL-SW,2430-III-SW,61374.11620000000,233383006.46300000000
TAMBELLUP-NW,2429-IV-NW,61423.51460000000,233726694.25799999000
TAMBELLUP-SW,2429-IV-SW,61473.21930000000,234072513.27000001000
TENTERDEN-NW,2429-III-NW,61523.23160000000,234420472.40200001000
TENTERDEN-SW,2429-III-SW,61573.55400000000,234770588.90000001000
MOUNT BARKER-NW,2428-IV-NW,61624.18760000000,235122870.56200001000
MOUNT BARKER-SW,2428-IV-SW,61675.13520000000,235477336.86899999000
REDMOND-NW,2428-III-NW,61726.39750000000,235833992.53900000000
REDMOND-SW,2428-III-SW,61777.97780000000,236192860.68200001000
TORBAY-NW,2427-IV-NW,61829.87700000000,236553947.71300000000
TORBAY-SW,2427-IV-SW,61882.09780000000,236917272.26600000000
KOORDA-NE,2336-II-NE,60233.60030000000,225447903.52800000000
KOORDA-SE,2336-II-SE,60275.89560000000,225742171.61700001000
WYALKATCHEM-NE,2335-I-NE,60318.45620000000,226038285.63600001000
WYALKATCHEM-SE,2335-I-SE,60361.28360000000,226336255.90700001000
TAMMIN-SE,2334-I-SE,60535.29150000000,227546910.45100001000
YOUNDEGIN-SE,2334-II-SE,60623.93540000000,228163647.68799999000
QUAIRADING-NE,2333-I-NE,60668.67260000000,228474905.33500001000
QUAIRADING-SE,2333-I-SE,60713.68880000000,228788104.11500001000
MEARS-NE,2333-II-NE,60758.98540000000,229103253.76899999000
MEARS-SE,2333-II-SE,60804.56410000000,229420365.99599999000
WOYERLING-NE,2332-I-NE,60850.42640000000,229739451.35900000000
WOYERLING-SE,2332-I-SE,60896.57440000000,230060524.59900001000
YILLIMINNING-NE,2332-II-NE,60943.00940000000,230383594.63299999000
YILLIMINNING-SE,2332-II-SE,60989.73280000000,230708671.19999999000
PIESSEVILLE-NE,2331-I-NE,61036.74680000000,231035769.60800001000
PIESSEVILLE-SE,2331-I-SE,61084.05240000000,231364896.81299999000
WAGIN-NE,2331-II-NE,61131.65230000000,231696071.73800001000
WAGIN-SE,2331-II-SE,61179.54720000000,232029299.11800000000
WOODANILLING-NE,2330-I-NE,61227.73960000000,232364596.20899999000
WOODANILLING-SE,2330-I-SE,61276.23040000000,232701969.40799999000
CARLECATUP-NE,2330-II-NE,61325.02220000000,233041436.80500001000
CARLECATUP-SE,2330-II-SE,61374.11630000000,233383007.30100000000
WARRENUP-NE,2329-I-NE,61423.51460000000,233726694.25700000000
WARRENUP-SE,2329-I-SE,61473.21920000000,234072512.42899999000
GEEKABEE-NE,2329-II-NE,61523.23140000000,234420470.71799999000
GEEKABEE-SE,2329-II-SE,61573.55380000000,234770587.21300000000
KWORNICUP-NE,2328-I-NE,61624.18740000000,235122868.87200001000
KWORNICUP-SE,2328-I-SE,61675.13500000000,235477335.17600000000
DENMARK-NE,2328-II-NE,61726.39750000000,235833992.53900000000
DENMARK-SE,2328-II-SE,61777.97800000000,236192862.37900001000
RATCLIFFE-NE,2327-I-NE,61829.87720000000,236553949.41299999000
LAKE O'GRADY-SW,2337-II-SW,60108.29280000000,224576080.47400001000
WYALKATCHEM-SW,2335-I-SW,60361.28380000000,226336257.53400001000
YOUNDEGIN-NW,2334-II-NW,60579.47540000000,227854318.40599999000
QUAIRADING-NW,2333-I-NW,60668.67240000000,228474903.69299999000
QUAIRADING-SW,2333-I-SW,60713.68860000000,228788102.47000000000
MEARS-NW,2333-II-NW,60758.98520000000,229103252.12200001000
MEARS-SW,2333-II-SW,60804.56410000000,229420365.99599999000
WOYERLING-NW,2332-I-NW,60850.42660000000,229739453.00999999000
WOYERLING-SW,2332-I-SW,60896.57460000000,230060526.25200000000
YILLIMINNING-NW,2332-II-NW,60943.00960000000,230383596.28799999000
YILLIMINNING-SW,2332-II-SW,60989.73300000000,230708672.85800001000
PIESSEVILLE-NW,2331-I-NW,61036.74690000000,231035770.43799999000
PIESSEVILLE-SW,2331-I-SW,61084.05240000000,231364896.81299999000
WAGIN-NW,2331-II-NW,61131.65220000000,231696070.90500000000
WAGIN-SW,2331-II-SW,61179.54700000000,232029297.45100001000
WOODANILLING-NW,2330-I-NW,61227.73940000000,232364594.53900000000
WOODANILLING-SW,2330-I-SW,61276.23020000000,232701967.73600000000
CARLECATUP-NW,2330-II-NW,61325.02200000000,233041435.13000000000
CARLECATUP-SW,2330-II-SW,61374.11630000000,233383007.30100000000
WARRENUP-NW,2329-I-NW,61423.51480000000,233726695.93700001000
WARRENUP-SW,2329-I-SW,61473.21940000000,234072514.11100000000
